Customer.ID,Total_Sales,Order_Count,Avg_Order_Value,Total_Profit,First_Order,Last_Order,Customer_Segment
AA-103151,1445,10,144.5,12.88,2011-07-04,2014-12-23,Medium Value
AA-103152,6105,16,381.56,568.74,2012-05-16,2014-12-18,High Value
AA-103153,633,5,126.6,228.96,2011-11-24,2013-02-05,Medium Value
AA-103154,5565,11,505.91,-362.88,2011-03-31,2014-06-30,High Value
AA-103751,2407,9,267.44,577.93,2011-10-07,2014-12-25,High Value
AA-103752,560,7,80.0,-60.26,2012-03-23,2014-02-17,Medium Value
AA-103753,1861,11,169.18,-117.58,2012-04-03,2014-11-27,Medium Value
AA-103754,1056,15,70.4,277.38,2011-04-21,2014-12-12,Medium Value
AA-104801,5946,6,991.0,601.39,2011-06-24,2014-08-28,High Value
AA-104802,5253,10,525.3,191.0,2011-11-01,2014-05-16,High Value
AA-104803,4704,10,470.4,288.26,2012-09-06,2014-05-09,High Value
AA-104804,1792,12,149.33,435.83,2011-05-04,2014-04-16,Medium Value
AA-106451,5264,24,219.33,1578.08,2011-01-26,2014-12-03,High Value
AA-106452,2730,16,170.62,219.06,2011-11-04,2014-05-12,High Value
AA-106453,2263,15,150.87,396.5,2011-12-22,2014-11-06,High Value
AA-106454,5087,18,282.61,857.8,2011-06-22,2014-11-06,High Value
AA-3151,11,1,11.0,4.29,2014-07-31,2014-07-31,Low Value
AA-3152,2234,7,319.14,531.28,2011-06-08,2014-12-29,High Value
AA-3751,365,6,60.83,49.48,2012-01-06,2014-03-07,Low Value
AA-3752,27,1,27.0,11.28,2012-09-27,2012-09-27,Low Value
AA-3753,261,6,43.5,16.68,2011-06-01,2014-04-22,Low Value
AA-4801,496,5,99.2,25.68,2011-06-21,2012-08-08,Low Value
AA-4802,1085,1,1085.0,488.1,2012-06-07,2012-06-07,Medium Value
AA-4803,482,4,120.5,40.83,2013-09-30,2014-02-20,Low Value
AA-6451,1503,15,100.2,-820.42,2011-04-22,2014-11-01,Medium Value
AA-6452,465,3,155.0,212.07,2013-05-27,2014-11-10,Low Value
AB-100151,10662,33,323.09,1772.71,2012-01-11,2014-09-09,High Value
AB-100152,6116,24,254.83,1122.89,2011-03-21,2014-04-23,High Value
AB-100153,2375,14,169.64,694.54,2011-10-14,2014-12-15,High Value
AB-100154,887,6,147.83,129.35,2011-02-19,2013-11-11,Medium Value
AB-100601,2107,13,162.08,320.28,2011-01-07,2014-10-11,High Value
AB-100602,3345,7,477.86,1020.07,2012-12-19,2014-05-19,High Value
AB-100603,5210,19,274.21,1119.13,2011-04-19,2014-11-19,High Value
AB-100604,7757,18,430.94,2054.59,2012-09-18,2014-11-07,High Value
AB-101051,4309,14,307.79,1451.61,2011-12-28,2014-05-29,High Value
AB-101052,2949,13,226.85,276.92,2012-06-12,2014-12-04,High Value
AB-101053,1234,15,82.27,-260.72,2011-10-13,2014-11-29,Medium Value
AB-101054,14476,20,723.8,5444.81,2011-12-20,2014-11-20,High Value
AB-101501,429,4,107.25,92.79,2013-01-30,2014-09-12,Low Value
AB-101502,9139,13,703.0,1009.51,2011-01-25,2014-09-19,High Value
AB-101503,2523,18,140.17,648.25,2011-07-12,2014-11-26,High Value
AB-101504,969,12,80.75,313.66,2011-03-05,2014-11-20,Medium Value
AB-101651,3435,10,343.5,578.78,2012-10-17,2013-12-07,High Value
AB-101652,6437,22,292.59,1322.79,2011-02-18,2014-12-18,High Value
AB-101653,668,6,111.33,207.08,2011-06-16,2014-11-01,Medium Value
AB-101654,1114,14,79.57,220.81,2011-11-16,2014-12-06,Medium Value
AB-102551,4277,15,285.13,-879.94,2011-10-04,2014-06-24,High Value
AB-102552,949,9,105.44,262.76,2011-09-23,2014-04-19,Medium Value
AB-102553,4644,15,309.6,309.38,2011-01-20,2014-12-26,High Value
AB-102554,914,14,65.29,264.57,2011-07-22,2014-07-18,Medium Value
AB-1051,97,2,48.5,10.41,2011-05-18,2013-11-24,Low Value
AB-1052,64,2,32.0,25.02,2014-05-15,2014-05-15,Low Value
AB-1053,1996,11,181.45,-530.76,2012-09-16,2014-11-18,Medium Value
AB-106001,7148,15,476.53,1608.96,2011-07-05,2014-05-05,High Value
AB-106002,4276,9,475.11,-503.3,2011-01-19,2014-01-28,High Value
AB-106003,377,6,62.83,74.66,2013-02-01,2014-10-08,Low Value
AB-106004,1515,8,189.38,-274.96,2011-11-18,2014-11-11,Medium Value
AB-1501,3145,8,393.12,862.14,2012-03-22,2013-11-28,High Value
AB-151,2125,6,354.17,386.64,2012-04-06,2013-11-14,High Value
AB-152,2481,6,413.5,577.08,2011-05-18,2013-08-15,High Value
AB-1651,160,2,80.0,35.22,2014-12-01,2014-12-01,Low Value
AB-1652,411,1,411.0,78.0,2013-01-21,2013-01-21,Low Value
AB-1653,828,5,165.6,-6.62,2011-09-19,2014-12-15,Medium Value
AB-2551,4083,11,371.18,787.2,2011-11-16,2014-07-10,High Value
AB-2552,283,2,141.5,57.96,2014-11-18,2014-11-18,Low Value
AB-2553,313,2,156.5,-43.31,2012-08-15,2014-09-02,Low Value
AB-6001,1384,21,65.9,253.56,2014-06-18,2014-12-24,Medium Value
AB-6002,4027,5,805.4,711.09,2011-01-24,2012-08-08,High Value
AB-601,1483,5,296.6,686.0,2012-05-14,2014-11-26,Medium Value
AB-602,287,6,47.83,-220.08,2011-11-11,2014-08-20,Low Value
AC-104201,4086,12,340.5,709.75,2012-06-26,2014-05-26,High Value
AC-104202,1033,8,129.12,214.28,2011-08-16,2013-09-25,Medium Value
AC-104203,4561,15,304.07,-655.41,2011-08-16,2014-12-25,High Value
AC-104204,926,5,185.2,-62.13,2011-07-12,2014-05-13,Medium Value
AC-104501,7610,8,951.25,2310.45,2011-09-15,2014-12-23,High Value
AC-104502,2295,6,382.5,614.19,2011-08-08,2014-12-26,High Value
AC-104503,694,6,115.67,-185.05,2013-04-19,2014-06-18,Medium Value
AC-104504,5529,9,614.33,1366.01,2011-10-31,2014-12-20,High Value
AC-106151,5753,24,239.71,1253.52,2011-06-28,2014-12-19,High Value
AC-106152,2738,11,248.91,-394.92,2013-07-30,2014-11-21,High Value
AC-106153,1699,12,141.58,3.25,2011-09-12,2014-11-25,Medium Value
AC-106154,2538,18,141.0,298.83,2012-09-15,2014-12-25,High Value
AC-106601,1175,5,235.0,-38.55,2011-10-06,2014-10-29,Medium Value
AC-106602,2234,9,248.22,-87.88,2011-06-06,2014-08-02,High Value
AC-106603,2189,15,145.93,-843.87,2011-11-18,2014-12-29,High Value
AC-106604,658,6,109.67,-28.7,2011-10-15,2014-03-24,Medium Value
AC-4201,841,15,56.07,150.16,2011-01-07,2014-12-18,Medium Value
AC-4202,849,6,141.5,87.4,2013-05-31,2013-12-10,Medium Value
AC-4501,670,4,167.5,81.78,2012-10-18,2014-01-29,Medium Value
AC-4502,147,2,73.5,34.32,2012-04-02,2012-06-25,Low Value
AC-4503,210,4,52.5,-241.29,2014-06-09,2014-07-03,Low Value
AC-6151,1706,7,243.71,-438.86,2011-10-01,2013-08-09,Medium Value
AC-6152,593,11,53.91,158.31,2011-04-30,2014-09-30,Medium Value
AC-6601,2666,7,380.86,726.12,2013-05-27,2014-09-03,High Value
AC-6602,10,1,10.0,0.75,2013-11-14,2013-11-14,Low Value
AD-101801,9209,19,484.68,-25.88,2012-10-05,2014-09-30,High Value
AD-101802,1001,6,166.83,119.88,2012-03-13,2013-12-20,Medium Value
AD-101803,1541,10,154.1,86.82,2011-08-16,2014-02-03,Medium Value
AD-101804,6106,12,508.83,1869.93,2011-11-19,2014-12-02,High Value
AD-1801,12,1,12.0,3.45,2014-06-18,2014-06-18,Low Value
AD-1802,669,7,95.57,-514.21,2014-06-02,2014-12-26,Medium Value
AF-108701,10793,36,299.81,-411.63,2011-03-30,2014-12-25,High Value
AF-108702,7808,9,867.56,-172.3,2011-09-28,2014-09-17,High Value
AF-108703,5832,20,291.6,2002.03,2011-10-27,2013-10-31,High Value
AF-108704,2052,16,128.25,317.97,2012-12-06,2014-11-20,High Value
AF-108851,8347,22,379.41,1099.4,2012-04-06,2014-10-16,High Value
AF-108852,5880,26,226.15,921.48,2011-06-06,2014-07-22,High Value
AF-108853,4621,15,308.07,1025.16,2011-03-28,2014-11-08,High Value
AF-108854,862,7,123.14,-163.12,2011-05-10,2013-11-11,Medium Value
AF-8701,672,9,74.67,201.33,2011-10-01,2014-12-19,Medium Value
AF-8702,125,2,62.5,43.8,2012-11-26,2012-11-26,Low Value
AF-8703,901,6,150.17,297.1,2012-08-17,2014-12-26,Medium Value
AF-8851,139,2,69.5,32.46,2014-06-11,2014-06-11,Low Value
AF-8852,215,4,53.75,55.86,2014-07-17,2014-07-17,Low Value
AG-102701,4771,19,251.11,891.4,2011-01-09,2014-10-27,High Value
AG-102702,1663,6,277.17,249.21,2012-08-24,2014-06-18,Medium Value
AG-102703,1622,12,135.17,278.65,2011-06-29,2014-11-21,Medium Value
AG-102704,2584,14,184.57,732.74,2011-05-13,2014-03-28,High Value
AG-103001,3212,9,356.89,385.78,2011-07-25,2014-12-04,High Value
AG-103002,6071,14,433.64,1280.6,2012-11-13,2014-10-20,High Value
AG-103003,3364,13,258.77,120.1,2011-01-19,2014-12-29,High Value
AG-103004,367,5,73.4,59.29,2011-04-26,2014-09-04,Low Value
AG-103301,4208,14,300.57,259.66,2011-11-28,2014-07-12,High Value
AG-103302,3590,20,179.5,661.54,2011-07-20,2014-08-04,High Value
AG-103303,6078,24,253.25,13.4,2011-10-24,2014-07-02,High Value
AG-103304,662,9,73.56,-5.14,2013-08-04,2014-12-23,Medium Value
AG-103901,2228,7,318.29,377.23,2013-11-26,2014-05-05,High Value
AG-103902,2646,9,294.0,28.84,2012-03-06,2013-11-13,High Value
AG-103903,3380,19,177.89,520.39,2012-09-13,2014-06-25,High Value
AG-103904,201,8,25.12,69.28,2011-04-19,2014-09-08,Low Value
AG-104951,3451,10,345.1,463.53,2011-05-26,2014-07-17,High Value
AG-104952,7461,26,286.96,1669.55,2011-04-04,2014-08-25,High Value
AG-104953,2110,5,422.0,320.31,2012-05-04,2014-06-14,High Value
AG-104954,2356,21,112.19,295.67,2012-01-04,2014-10-14,High Value
AG-105251,324,3,108.0,13.26,2011-12-15,2014-08-19,Low Value
AG-105252,4071,12,339.25,151.72,2011-12-27,2014-11-24,High Value
AG-105253,2620,7,374.29,23.82,2013-03-29,2014-12-19,High Value
AG-105254,1455,9,161.67,-152.76,2011-08-09,2012-09-07,Medium Value
AG-106751,3644,13,280.31,360.43,2011-11-25,2012-11-22,High Value
AG-106752,2284,12,190.33,206.21,2011-03-10,2014-11-14,High Value
AG-106753,3606,12,300.5,360.58,2012-04-28,2013-11-26,High Value
AG-106754,3489,15,232.6,-246.43,2012-05-07,2014-09-25,High Value
AG-107651,1586,5,317.2,93.21,2012-12-07,2013-12-20,Medium Value
AG-107652,2159,10,215.9,110.8,2011-01-12,2014-09-30,High Value
AG-107653,5913,24,246.38,1055.0,2012-11-05,2014-12-03,High Value
AG-107654,170,5,34.0,-8.43,2011-09-17,2014-10-15,Low Value
AG-109001,5035,23,218.91,359.28,2011-02-21,2014-09-05,High Value
AG-109002,3108,12,259.0,551.18,2011-06-24,2013-12-24,High Value
AG-109003,5519,9,613.22,625.63,2012-05-04,2014-11-04,High Value
AG-109004,4511,21,214.81,343.68,2011-07-23,2014-09-26,High Value
AG-2701,1997,9,221.89,232.11,2011-10-04,2014-07-21,Medium Value
AG-2702,296,3,98.67,55.44,2013-07-30,2013-07-30,Low Value
AG-2703,486,4,121.5,163.03,2014-09-02,2014-12-18,Low Value
AG-3001,866,5,173.2,-802.45,2012-11-13,2014-08-08,Medium Value
AG-3002,835,12,69.58,-270.17,2012-09-25,2014-09-24,Medium Value
AG-3301,513,9,57.0,74.2,2011-12-14,2014-12-29,Medium Value
AG-3302,20,1,20.0,3.3,2014-12-17,2014-12-17,Low Value
AG-3901,414,7,59.14,-504.77,2011-06-10,2011-12-07,Low Value
AG-3902,59,3,19.67,-43.7,2013-01-08,2014-09-10,Low Value
AG-4951,469,4,117.25,48.66,2012-05-29,2014-06-09,Low Value
AG-4952,52,2,26.0,9.15,2014-03-10,2014-11-13,Low Value
AG-4953,482,10,48.2,-164.66,2011-02-22,2014-10-23,Low Value
AG-5251,802,11,72.91,-211.64,2011-06-23,2014-12-16,Medium Value
AG-5252,2067,2,1033.5,345.0,2013-01-02,2013-01-02,High Value
AG-6751,774,18,43.0,-318.02,2011-03-09,2014-07-11,Medium Value
AG-6752,1595,7,227.86,560.29,2011-09-02,2014-04-05,Medium Value
AG-7651,769,7,109.86,-891.06,2012-10-17,2013-05-31,Medium Value
AG-7652,1090,7,155.71,-184.22,2012-07-03,2014-09-08,Medium Value
AG-9001,1698,10,169.8,-146.52,2011-01-30,2014-12-08,Medium Value
AH-100301,4154,10,415.4,911.4,2011-12-12,2013-11-16,High Value
AH-100302,3973,10,397.3,981.59,2011-06-17,2014-12-03,High Value
AH-100303,4568,13,351.38,343.22,2011-10-24,2014-07-26,High Value
AH-100304,1744,11,158.55,365.22,2011-04-22,2014-12-19,Medium Value
AH-100751,7291,17,428.88,-928.87,2011-08-23,2014-12-29,High Value
AH-100752,4526,20,226.3,528.41,2011-06-10,2014-12-01,High Value
AH-100753,3044,7,434.86,1105.31,2011-10-07,2014-05-15,High Value
AH-100754,3251,20,162.55,281.19,2011-11-16,2014-11-27,High Value
AH-101201,558,3,186.0,28.51,2013-01-09,2013-09-16,Medium Value
AH-101202,3590,13,276.15,905.51,2012-06-28,2014-09-09,High Value
AH-101203,4044,14,288.86,773.43,2011-11-14,2014-02-28,High Value
AH-101204,1736,16,108.5,-2.31,2011-07-18,2014-11-01,Medium Value
AH-101951,3839,17,225.82,-308.28,2011-11-25,2014-11-12,High Value
AH-101952,1833,17,107.82,391.05,2011-04-08,2014-09-30,Medium Value
AH-101953,5370,18,298.33,454.69,2011-01-17,2014-11-10,High Value
AH-101954,1588,8,198.5,-378.55,2012-03-05,2014-11-06,Medium Value
AH-102101,1111,3,370.33,271.98,2011-12-06,2013-09-17,Medium Value
AH-102102,7417,26,285.27,1478.28,2011-08-23,2014-09-20,High Value
AH-102103,7031,24,292.96,1080.85,2012-04-14,2014-12-24,High Value
AH-102104,4805,13,369.62,1308.55,2011-11-29,2014-12-25,High Value
AH-104651,2183,9,242.56,314.89,2011-05-31,2014-10-06,High Value
AH-104652,251,2,125.5,59.75,2011-12-20,2013-09-07,Low Value
AH-104653,3621,13,278.54,433.37,2011-10-04,2014-10-22,High Value
AH-104654,2495,8,311.88,-196.12,2012-01-03,2014-05-15,High Value
AH-105851,6205,17,365.0,1046.58,2011-12-01,2014-06-27,High Value
AH-105852,1615,6,269.17,437.33,2011-06-08,2014-07-01,Medium Value
AH-105853,567,4,141.75,-109.52,2011-08-24,2013-11-28,Medium Value
AH-105854,738,5,147.6,83.96,2011-10-26,2014-12-10,Medium Value
AH-106901,4163,16,260.19,552.99,2011-09-26,2014-08-08,High Value
AH-106902,3514,20,175.7,790.01,2011-07-27,2014-12-01,High Value
